Geracao,ID_particula,Dimensao 1,Dimensao 2,Fitness
0,69,-0.666079,1.12242,4.97557
0,70,0.0441784,0.771068,3.05989
0,71,-0.832663,-1.1265,4.49346
0,72,-0.750576,-0.725069,4.53589
0,73,1.76602,-0.118591,5.62864
0,74,0.864104,0.438463,4.40537
0,75,1.11787,-1.35109,6.03594
0,76,-1.72175,-0.0804747,5.62689
0,77,-1.50909,-1.71145,7.69588
0,78,0.483295,-1.53494,6.41574
0,79,0.511581,-1.55582,6.47351
0,80,-0.359284,-0.411436,3.7287
0,81,0.453944,0.779357,4.43456
0,82,0.504681,-0.196414,3.47722
0,83,1.21194,-0.0147837,4.01667
0,84,-1.3378,-1.73229,7.31458
0,85,1.53024,-0.0908246,5.68411
0,86,0.334118,0.174718,2.78084
0,87,1.78226,0.27558,6.19979
0,88,-0.822416,-1.49426,6.24896
0,89,1.80921,-1.65718,7.67114
0,90,1.57975,0.62051,6.53768
0,91,1.73333,-0.684028,6.57558
0,92,1.02966,0.891187,3.81336
0,93,0.777668,-1.49084,6.28916
0,94,0.801585,-0.390078,4.28967
0,95,-1.68498,0.26686,6.22794
0,96,-0.805791,0.368068,4.22637
0,97,-0.938694,-1.71173,6.13234
0,98,1.77999,-0.417593,6.56388
0,99,-0.670957,-0.162892,3.55664
1,0,1.58681,0.733502,6.47969
1,1,-1.88748,1.30842,7.04244
1,2,0.910438,0.996041,3.6768
1,3,-0.825623,-0.354239,4.17758
1,4,1.53017,-1.59487,7.68239
1,5,1.57438,-0.295103,6.21591
1,6,0.00323152,0.82424,2.85461
1,7,-0.0262315,-0.291058,2.08654
1,8,0.805751,-0.317453,4.05719
1,9,-0.438461,1.01633,4.58138
1,10,-1.40442,0.971565,5.92669
1,11,-0.445139,-0.472538,4.091
1,12,1.39397,1.61353,7.4624
1,13,-1.84061,1.18973,6.47336
1,14,-1.2251,0.0605476,4.18366
1,15,1.43972,0.743119,6.19881
1,16,0.780104,-1.75591,6.35789
1,17,0.118922,-0.962743,2.9351
1,18,-1.00213,0.100352,2.90433
1,19,-1.56066,-0.251007,6.09803
1,20,0.532891,1.79246,6.66644
1,21,0.768697,1.48635,6.2886
1,22,-0.209501,-1.26468,4.95132
1,23,1.04135,-1.38816,5.96364
1,24,-0.607931,1.0852,4.90293
1,25,-0.954728,0.363462,4.2435
1,26,1.06325,1.21241,5.01416
1,27,-1.8937,-0.318004,6.27083
1,28,-1.10011,1.7462,6.3005
1,29,-0.948077,0.55988,4.59354
